"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Apr 12 11:28:42 GMT 2023","Wed Apr 12 11:28:51 GMT 2023","9615","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Saját cikk hozzászólása",""
"broken","Wed Apr 12 11:28:31 GMT 2023","Wed Apr 12 11:28:40 GMT 2023","9589","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Saját cikk címének módosítása",""
"passed","Wed Apr 12 11:28:10 GMT 2023","Wed Apr 12 11:28:16 GMT 2023","6659","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Egyik felhasználó cikkeinek kilistázása/lista bejárása",""
"passed","Wed Apr 12 11:28:02 GMT 2023","Wed Apr 12 11:28:02 GMT 2023","160","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Adatkezelés elfogadása","Sütik elfogadása"
"passed","Wed Apr 12 11:29:23 GMT 2023","Wed Apr 12 11:29:25 GMT 2023","1113","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Kijelentkezés",""
"passed","Wed Apr 12 11:29:04 GMT 2023","Wed Apr 12 11:29:05 GMT 2023","993","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Bejelentkezést követően az első oldalon lévő cikkek szerzőinek a kigyűjtése csv fájlba",""
"broken","Wed Apr 12 11:28:53 GMT 2023","Wed Apr 12 11:29:02 GMT 2023","9577","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Saját cikk törlése",""
"passed","Wed Apr 12 11:29:06 GMT 2023","Wed Apr 12 11:29:22 GMT 2023","15964","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Ismételt és sorozatos adatbevitel adatforrásból (többszöri regisztráció)",""
"passed","Wed Apr 12 11:28:07 GMT 2023","Wed Apr 12 11:28:08 GMT 2023","953","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Bejelentkezés megfelelő adatokkal","Regisztrációnál létrehozott felhasználóval bejelentkezés"
"passed","Wed Apr 12 11:28:03 GMT 2023","Wed Apr 12 11:28:06 GMT 2023","2855","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Regisztráció megfelelő adatokkal","Regisztrációhoz szükséges adatokat az adatok.py fájlból származnak."
"broken","Wed Apr 12 11:28:20 GMT 2023","Wed Apr 12 11:28:29 GMT 2023","9449","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Cikk létrehozása",""
"broken","Wed Apr 12 11:28:18 GMT 2023","Wed Apr 12 11:28:19 GMT 2023","979","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Több oldalas lista bejárása",""
