"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 04 12:07:28 GMT 2023","Thu May 04 12:07:42 GMT 2023","13187","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Bejelentkezést követően az első oldalon lévő cikkek szerzőinek a kigyűjtése txt fájlba",""
"passed","Thu May 04 12:05:53 GMT 2023","Thu May 04 12:05:59 GMT 2023","5982","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Bejelentkezés regisztrált felhasználóval",""
"passed","Thu May 04 12:06:00 GMT 2023","Thu May 04 12:06:12 GMT 2023","11736","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Egyik felhasználó cikkeinek kilistázása/lista bejárása",""
"passed","Thu May 04 12:07:13 GMT 2023","Thu May 04 12:07:27 GMT 2023","14026","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Saját cikk törlése",""
"passed","Thu May 04 12:05:36 GMT 2023","Thu May 04 12:05:41 GMT 2023","5099","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Adatkezelés elfogadása",""
"passed","Thu May 04 12:06:59 GMT 2023","Thu May 04 12:07:12 GMT 2023","12527","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Saját cikk hozzászólása",""
"passed","Thu May 04 12:08:11 GMT 2023","Thu May 04 12:08:17 GMT 2023","6186","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Kijelentkezés",""
"passed","Thu May 04 12:06:36 GMT 2023","Thu May 04 12:06:45 GMT 2023","9272","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Cikk létrehozása",""
"passed","Thu May 04 12:05:42 GMT 2023","Thu May 04 12:05:52 GMT 2023","9671","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Regisztráció megfelelő adatokkal",""
"passed","Thu May 04 12:06:46 GMT 2023","Thu May 04 12:06:58 GMT 2023","11890","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Saját cikk szövegének módosítása",""
"passed","Thu May 04 12:07:43 GMT 2023","Thu May 04 12:08:10 GMT 2023","27222","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Ismételt és sorozatos adatbevitel adatforrásból (többszöri regisztráció)",""
"passed","Thu May 04 12:06:13 GMT 2023","Thu May 04 12:06:35 GMT 2023","21381","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Több oldalas lista bejárása",""
