"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 12 12:12:16 GMT 2023","Wed Apr 12 12:12:27 GMT 2023","11121","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Több oldalas lista bejárása",""
"passed","Wed Apr 12 12:12:09 GMT 2023","Wed Apr 12 12:12:15 GMT 2023","6025","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Egyik felhasználó cikkeinek kilistázása/lista bejárása",""
"passed","Wed Apr 12 12:15:59 GMT 2023","Wed Apr 12 12:16:00 GMT 2023","937","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Kijelentkezés",""
"broken","Wed Apr 12 12:12:28 GMT 2023","Wed Apr 12 12:12:37 GMT 2023","9095","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Cikk létrehozása",""
"passed","Wed Apr 12 12:12:03 GMT 2023","Wed Apr 12 12:12:05 GMT 2023","2508","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Regisztráció megfelelő adatokkal","Regisztrációhoz szükséges adatokat az adatok.py fájlból származnak."
"passed","Wed Apr 12 12:13:10 GMT 2023","Wed Apr 12 12:15:41 GMT 2023","151382","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Bejelentkezést követően az első oldalon lévő cikkek szerzőinek a kigyűjtése csv fájlba",""
"broken","Wed Apr 12 12:12:49 GMT 2023","Wed Apr 12 12:12:58 GMT 2023","9096","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Saját cikk hozzászólása",""
"passed","Wed Apr 12 12:12:01 GMT 2023","Wed Apr 12 12:12:01 GMT 2023","53","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Adatkezelés elfogadása","Sütik elfogadása"
"passed","Wed Apr 12 12:15:43 GMT 2023","Wed Apr 12 12:15:58 GMT 2023","15295","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Ismételt és sorozatos adatbevitel adatforrásból (többszöri regisztráció)",""
"broken","Wed Apr 12 12:12:39 GMT 2023","Wed Apr 12 12:12:48 GMT 2023","9140","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Saját cikk címének módosítása",""
"broken","Wed Apr 12 12:13:00 GMT 2023","Wed Apr 12 12:13:09 GMT 2023","9015","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Saját cikk törlése",""
"passed","Wed Apr 12 12:12:07 GMT 2023","Wed Apr 12 12:12:07 GMT 2023","842","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Bejelentkezés megfelelő adatokkal","Regisztrációnál létrehozott felhasználóval bejelentkezés"
