"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 12 13:31:19 GMT 2023","Wed Apr 12 13:31:26 GMT 2023","7861","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Regisztráció megfelelő adatokkal","Regisztrációhoz szükséges adatokat az adatok.py fájlból származnak."
"broken","Wed Apr 12 13:32:07 GMT 2023","Wed Apr 12 13:32:16 GMT 2023","9045","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Saját cikk címének módosítása",""
"passed","Wed Apr 12 13:32:47 GMT 2023","Wed Apr 12 13:33:08 GMT 2023","21050","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Ismételt és sorozatos adatbevitel adatforrásból (többszöri regisztráció)",""
"passed","Wed Apr 12 13:32:39 GMT 2023","Wed Apr 12 13:32:45 GMT 2023","6010","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Bejelentkezést követően az első oldalon lévő cikkek szerzőinek a kigyűjtése csv fájlba",""
"broken","Wed Apr 12 13:32:17 GMT 2023","Wed Apr 12 13:32:27 GMT 2023","9547","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Saját cikk hozzászólása",""
"passed","Wed Apr 12 13:31:12 GMT 2023","Wed Apr 12 13:31:17 GMT 2023","5200","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Adatkezelés elfogadása","Sütik elfogadása"
"broken","Wed Apr 12 13:31:48 GMT 2023","Wed Apr 12 13:31:55 GMT 2023","6077","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Több oldalas lista bejárása",""
"passed","Wed Apr 12 13:33:09 GMT 2023","Wed Apr 12 13:33:15 GMT 2023","6192","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Kijelentkezés",""
"passed","Wed Apr 12 13:31:35 GMT 2023","Wed Apr 12 13:31:47 GMT 2023","11753","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Egyik felhasználó cikkeinek kilistázása/lista bejárása",""
"passed","Wed Apr 12 13:31:28 GMT 2023","Wed Apr 12 13:31:34 GMT 2023","5978","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Bejelentkezés megfelelő adatokkal","Regisztrációnál létrehozott felhasználóval bejelentkezés"
"broken","Wed Apr 12 13:31:56 GMT 2023","Wed Apr 12 13:32:05 GMT 2023","9328","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Cikk létrehozása",""
"broken","Wed Apr 12 13:32:28 GMT 2023","Wed Apr 12 13:32:38 GMT 2023","9514","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Saját cikk törlése",""
