"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 14 16:39:19 GMT 2023","Fri Apr 14 16:39:35 GMT 2023","16105","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Több oldalas lista bejárása",""
"passed","Fri Apr 14 16:40:28 GMT 2023","Fri Apr 14 16:40:41 GMT 2023","13055","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Bejelentkezést követően az első oldalon lévő cikkek szerzőinek a kigyűjtése txt fájlba",""
"passed","Fri Apr 14 16:39:47 GMT 2023","Fri Apr 14 16:39:59 GMT 2023","11261","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Saját cikk szövegének módosítása",""
"passed","Fri Apr 14 16:39:00 GMT 2023","Fri Apr 14 16:39:06 GMT 2023","5879","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Bejelentkezés megfelelő adatokkal",""
"passed","Fri Apr 14 16:38:49 GMT 2023","Fri Apr 14 16:38:59 GMT 2023","9447","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Regisztráció megfelelő adatokkal",""
"passed","Fri Apr 14 16:39:07 GMT 2023","Fri Apr 14 16:39:18 GMT 2023","11187","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Egyik felhasználó cikkeinek kilistázása/lista bejárása",""
"passed","Fri Apr 14 16:38:43 GMT 2023","Fri Apr 14 16:38:48 GMT 2023","5075","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Adatkezelés elfogadása",""
"passed","Fri Apr 14 16:40:13 GMT 2023","Fri Apr 14 16:40:27 GMT 2023","14015","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Saját cikk törlése",""
"passed","Fri Apr 14 16:40:00 GMT 2023","Fri Apr 14 16:40:12 GMT 2023","12059","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Saját cikk hozzászólása",""
"passed","Fri Apr 14 16:40:42 GMT 2023","Fri Apr 14 16:41:08 GMT 2023","26330","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Ismételt és sorozatos adatbevitel adatforrásból (többszöri regisztráció)",""
"passed","Fri Apr 14 16:39:37 GMT 2023","Fri Apr 14 16:39:46 GMT 2023","8877","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Cikk létrehozása",""
"passed","Fri Apr 14 16:41:09 GMT 2023","Fri Apr 14 16:41:15 GMT 2023","5949","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Kijelentkezés",""
